# Setosa  Versicolor  Virginica  Class
1.63654640931e-276   0.000670934887489    0.296990030529       Iris-virginica      
1.54308546494        9.97138915421e-84    3.27816009707e-262   Iris-setosa         
2.95499382642e-194   0.149566935846       9.91633274822e-11    Iris-versicolor     
4.61286708828e-78    0.287734743925       5.49205839472e-42    Iris-versicolor     
1.16703247941e-224   0.0439951201661      5.18431036849e-11    Iris-versicolor     
0.052712742494       1.50161973229e-73    1.33925352623e-241   Iris-setosa         
0.00583570617656     2.47210889977e-73    1.48040869141e-220   Iris-setosa         
2.313774977e-146     0.464501998587       5.13359598812e-26    Iris-versicolor     
1.90119735168e-311   0.00298502044779     0.0606177058477      Iris-virginica      
1.10709430844        1.16760375863e-90    1.56835693567e-276   Iris-setosa         
